ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,mo_ta_cong_viec,url,thoi_gian_hien_tai
BUSINESS ANALYST,CÔNG TY TNHH CÁC GIẢI PHÁP SOFTEL,Lên tới 40.000.000 VND,"Trụ sở chính Softel Solutions: Tầng 7 Tòa Nhà Geleximco - số 36 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",Đăng 4 ngày trước,Software,100-499 Nhân viên,Vietnam,Từ 4 năm,Senior,In Office,Fulltime,"MySQL, Data Analytics, Business Analyst",Vòng 1: Only 1 interview round about 20-30 minutes in Vietnamese with our Team Leaders.,"Trách nhiệm công việc Proactively engage in the software development process by eliciting, researching, analyzing, and consulting on business requirements for key projects. Attend meetings with the North American product team to gather and clarify product requirements. Create detailed documentation and requirements specifications for development. Collaborate with testers to ensure development outcomes meet agreed-upon requirements. Draft and distribute user manuals and guides for end-users. Perform other tasks as assigned by the supervisor. Kỹ năng & Chuyên môn At least 4+ years of experience working as a Business Analyst (BA). Strong verbal and written English skills, capable of supporting the team with English documentation (TOEIC 800+/ IELTS 7.0 or equivalent) Experience in ERP, E-Commerce, Finance or the Telecommunication domain is preferred. Excellent analytical skills with the ability to understand complex software systems quickly. Proficiency in creating clear, concise documentation. Strong communication, presentation, and management skills, with the ability to handle multiple projects simultaneously. Basic understanding of databases, particularly MySQL. A bachelors degree in Computer Science, Software Engineering, Information Technology, or a related field is a plus. Phúc lợi dành cho bạn Salary: upto 40M/month (Competitive salary based on ability). Probation period: 2 months. Flexible working time: 8 hours/day from Monday to Friday. You will work at the office from 9:00 AM - 6:00 PM. 12 annual days, 11 public holidays, pay insurance (BHXH, BHYT, BHTN), and other benefits based on the Vietnam Labor Code. Extremely valuable awards honor outstanding groups and individuals at the Year-end Party. Project bonus and salary review according to the work quality. Opportunity to travel and on-site work in the US. Working with major carriers in the US.",https://topdev.vn/viec-lam/business-analyst-cong-ty-tnhh-cac-giai-phap-softel-2034333?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
CVCC/ CG Solution Architect (Kiến Trúc Sư Giải Pháp) - TNEX Finance - 4B004,Tập đoàn ROX (ROX Group),Thương lượng,"Tòa nhà TNR, 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",Đăng 4 ngày trước,"Fintech, Ngân Hàng, Nông nghiệp, Bất động sản, Thương mai dịch vụ",Hơn 1000 Nhân viên,Vietnam,Từ 5 năm,Senior,In Office,Fulltime,"Java, Python, Solution Architect","Vòng 1: PV trực tiếp với Head chuyên môn và HR, Vòng 2: Đàm phán lương và phúc lợi","Trách nhiệm công việc Design and development of digital banking and lending solutions that meet business requirements and align with the organizations technical strategy. Collaborate with business stakeholders to understand and translate their needs into technical requirements. Work closely with developers and technical teams to ensure solutions are delivered on time, within budget, and to a high level of quality. Develop and maintain technical documentation and architecture diagrams to support the development of digital banking and lending solutions, standardize the companys development goals such as integration with existing systems, stability and scalability of the system minimizing, operational risks, and facilitating current usage and future expansion. Ensure solutions are aligned with industry best practices, security standards, and regulatory requirements. Identify opportunities for process improvements and provide recommendations for optimizing the performance and efficiency of digital banking and lending solutions. Stay up-to-date with emerging technologies and digital banking and lending trends, and make recommendations for their adoption where appropriate. Kỹ năng & Chuyên môn A bachelors or masters degree in computer science, information technology, or a related field. Certification in architecture frameworks is also desirable. Minimum 5 years of experience in software development, systems engineering, or technical architecture. Experience in designing enterprise-level, large-scale, high throughput, and secured solutions is highly desirable. An advantage is an in-depth understanding of payment, finance, banking, and lending. A strong understanding of software development methodologies and programming languages such as Java, Python, and React is essential. Experience with cloud computing platforms such as AWS, or Google Cloud is also desirable. Having an end-to-end understanding of solution design, across multiple layers: application, integration, data, and infrastructure, cloud-based is an advantage; Able to lead teams and work collaboratively with stakeholders, including project managers, developers, and business users. Excellent verbal and written communication skills are critical, able to explain technical concepts to non-technical stakeholders and articulate the benefits of technology solutions. Able to analyze complex business requirements and convert them into solutions that help solve the business issue, from technical development to using market solutions to deliver within budget, and to a high level of quality. Phúc lợi dành cho bạn Income Package: negotiation x 13-17 months/ year Social and Bao Minh’s insurance Annual adjusting salary: 1 time/ year (base on specific regulation) Full salary rests on birthday Team building, outing at least 1 time/ year Professional training course Working location: TNR tower, 54A Nguyen Chi Thanh str., Dong Da Dist., HN Working duration: From Monday to Friday with flexible shift (from 8:00/ 8:30/ 9:00 AM to 6:00/ 6:30/ 7:00 PM); lunch time: 12:00 PM- 1:00 PM",https://topdev.vn/viec-lam/cvcc-cg-solution-architect-kien-truc-su-giai-phap-tnex-finance-4b004-tap-doan-rox-rox-group-2034330?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Senior .NET Developer,FPT Software,Thương lượng,"FPT Building Cầu Giấy, 17 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Tòa nhà FTown - Lô T2, đường D1, khu CNC, Phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, FPT Complex Building, Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Đăng 4 ngày trước,Phần Mềm,Hơn 1000 Nhân viên,Vietnam,Từ 5 năm,Senior,In Office,Fulltime,"ASP.NET, C#, .NET",Khong co thong tin,"About us A subsidiary of the FPT Group, FPT Software is known as a leading global information technology service provider headquartered in Vietnam. With over 30,000 employees working in 83 offices across 30 countries on five continents, FPT Software consistently delivers the best solutions to more than 1000 clients, including 100 Fortune 500 companies. Placing human resources as the cornerstone of its achievements, employee experience is our top priority in continually creating an innovative, open, and enjoyable work environment for every member. In 2023, FPT Software officially made its mark on the global billion-dollar company list. This is evidence of the talent and efforts of multiple generations of employees at FPT Software. Why not explore your potential and embark on a brilliant journey with us? Trách nhiệm công việc Develop custom software as part of an Agile software development team Participate in application development using C#, ASP.NET, MVC, and the .NET Framework 4. * and/or .NET Core and other skill. and other technologies Configure, analyze, design, develop, maintain and/or refactor new/existing program code and applications to support business processes and functions and keep technical debt to a minimum Interface as necessary with all critical integration points to ensure that applications are integrating successfully and efficiently with all requested applications Sharing technical and business domain knowledge with other team members Participate in problem solving and troubleshooting for the assigned application(s), functional area(s), or project(s) Develop and maintain a thorough knowledge of the assigned application(s), functional area(s), or project(s) Work with the team to ensure the quality of the assigned application(s), functional area(s), or project(s) Kỹ năng & Chuyên môn Bachelor’s and/or master’s degree in computer science or related field 5+ years of experience delivering high quality software products Significant experience (4+ years) with C# Proficient in web programming with extensive knowledge of C#, ASP.NET, MVC, and the .NET Framework 4. * and/or .NET Core. Experience with web development technologies including HTML 5.0, CSS 3, ES6/7, jQuery, REST, Bootstrap, React/Angular/Aurelia/Knockout, git Proven track record working on high volume, high profile websites Expert at cross-browser compatibility, responsive mobile design, organized code structure, and highly interactive user experiences Proficient in web programming with extensive knowledge of HTML/CSS/JavaScript Strong understanding of internet, systems, web technologies and web service architectures In-depth knowledge and experience of the software development lifecycle Understanding of W3C web standards and accessibility guidelines is required A good understanding of configuration management, testing and bug tracking Strong communication skills. Able to easily collaborate with peers and customers Experience with Microsoft Visual Studio development tools a strong plus Experience delivering software in an Agile or Lean delivery method Excellent communication and negotiation skills, helping lead and facilitate major and minor Experience with SOAP/REST web service integration/implementation experience Strong SQL query knowledge Experience in production support design decisions with our business partners and the rest of the development team members Excellent problem-solving skills with strong attention to detail Ability to successfully resolve stressful production issues Phúc lợi dành cho bạn “FPT care” health insurance provided by Petrolimex (PJICO) and is exclusive for FPT employees. Annual Summer Vacation: follows company’s policy and starts from May every year Salary review: 1 time per year International, dynamic, friendly working environment Annual leave, working conditions follow Vietnam labor laws. Other allowances: lunch allowance, working on-site allowance, etc.",https://topdev.vn/viec-lam/senior-net-developer-fpt-software-2034334?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
QA/Manual Tester,AVEPOINT VIỆT NAM,Thương lượng,"Tầng 4 tòa Artemis Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",Đăng 4 ngày trước,Software,500-999 Nhân viên,Khong co thong tin,Không yêu cầu,All Levels,In Office,Fulltime,"QA, Tester, Manual Test","Vòng 1: Làm bài test, Vòng 2: Phỏng vấn với chuyên gia","Trách nhiệm công việc Tham gia vào quá trình tìm hiểu yêu cầu, kiểm thử, và triển khai sản phẩm phần mềm Sử dụng mô hình Thác nước (Waterfall) và mô hình Linh hoạt (Agile) để phát triển các dự án Xây dựng và thực thi các trường hợp kiểm thử Sử dụng các kỹ thuật kiểm thử như kiểm thử hộp đen, kiểm thử chức năng, kiểm thử tự động, và kiểm thử hồi quy Sử dụng kiểm thử hiệu năng và kiểm thử bảo mật để đảm bảo sản phẩm phần mềm hoạt động ổn định Kỹ năng & Chuyên môn Sinh viên năm cuối hoặc tốt nghiệp đại học ngành Khoa học máy tính, Công nghệ phần mềm, Công nghệ thông tin hoặc tương đương Có chứng chỉ các khóa học kiểm thử là một lợi thế Cẩn thận, tư duy logic tốt, đam mê thử nghiệm và thích “vạch lá tìm sâu” Có tinh thần trách nhiệm, bền bỉ Có khả năng chịu áp lực công việc, chịu khó, chủ động và có trách nhiệm cao Có kinh nghiệm ở vị trí liên quan là 1 lợi thế Kỹ năng giao tiếp tốt Tiếng Anh hoặc tiếng Trung tốt là lợi thế Lưu ý: Ứng viên vui lòng gửi CV Tiếng Anh. Phúc lợi dành cho bạn 5-day workweek Performance review 2 times/year Young & vibrant working environment with great career development opportunities Social insurance, medical insurance, unemployment insurance, are based on actual salary Yearly performance bonus (up to 2 months’ salary) Regular team building events & internal activities (weekly happy hour, quarterly team building events, festival parties, etc.)",https://topdev.vn/viec-lam/qa-manual-tester-avepoint-viet-nam-2034343?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Digital Banking Devops Engineer,Ngân hàng TMCP An Bình (ABBANK),Thương lượng,"36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",Đăng 4 ngày trước,Ngân Hàng,Hơn 1000 Nhân viên,Vietnam,Từ 7 năm,Senior,In Office,Fulltime,"Agile, Java, DevOps, AWS, Java Spring",Khong co thong tin,"Trách nhiệm công việc Thực hiện phát triển sản phẩm, dịch vụ trên nền tảng ứng dụng số hóa dịch vụ Ngân hàng số cho KHCN/KHDN, hệ sinh thái Phối hợp xây dựng cấc tiêu chuẩn công nghệ, tích hợp, kiến trúc theo định hướng chiến lược của ngân hàng. Quản lý và vận hành Hệ thống Omnichannel dựa trên nền tảng Java Spring, ActiveMQ, Microservices, Oracle DB,.. Xây dựng Quy trình CI/CD đảm bảo việc nâng cấp (rollback) và phát triển hệ thống liên tục theo nhu cầu phát triển sản phẩm. Bao gồm các công cụ quản lý source code, build container/docker, deploy, quản lý cấu hình (ArgoCD),.. Triển khai các sản phẩm phần mềm lên Google Cloud Platform sử dụng Google K8s Engine/GKE, GVMs, Google Anthos, Redis Cache … Ưu tiên ứng viên đã từng có kinh nghiệm hoặc có thể tham gia phát triển hệ thống microservices dựa trên Java springboot. Áp dụng các biện pháp bảo mật nhằm phòng chống rủi ro an ninh mạng. Đảm bảo tính sẵn sàng và ổn định của hệ thống phụ trách. Kỹ năng & Chuyên môn Bằng cấp: Bằng cấp: Đại học chính quy trở lên trong lĩnh vực chuyên ngành Khoa học Máy tính, Kỹ thuật Máy tính, Công nghệ Thông tin hoặc các lĩnh vực liên quan Kinh nghiệm: tối thiểu 7 năm kinh nghiệm trong lĩnh vực Vận hành hệ thống và Phát triển phần mềm trong lĩnh vực Tài chính, Ngân hàng, Fintech. Có kinh nghiệm triển khai CI/CD với Gitlab, Jenkins & ArgoCD và am hiểu mô hình Agile-Scrum Có kinh nghiệm khai vận hành hệ thống trên Google Cloud Platform từ 3 năm trở lên. Hoặc có kinh nghiệm triển khai vận hành hệ thống tương tự như AWS hay Azure từ 05 năm trở lên. Ưu tiên ứng viên có kinh nghiệm trong việc lập trình các ngôn ngữ back-end như Java SpringBoot Có kinh nghiệm quản lý Cơ sở dữ liệu SQL và NoSQL. Ưu tiên CSDL Oracle DB, PostgreSQL. Có kinh nghiệm về hệ điều hành Linux Có kinh nghiệm triển khai ứng dụng trên Container/Docker, Kubernetes. Có kinh nghiệm monitor hệ thống (Prometheus, Grafana, ELK,…) Kinh nghiệm với các hệ thống an toàn, mạng và nguyên tắc bảo mật. Có kinh nghiệm với các kỹ năng lập trình (Bash Script, Python, …) Có kinh nghiệm quản lý nhóm từ 5 tới 10 người Giao tiếp tốt bằng tiếng anh Phúc lợi dành cho bạn Lương và phúc lợi hấp dẫn:Mức lương cạnh tranh, phản ánh trực tiếp kỹ năng và kinh nghiệm của ứng viên (chi tiết sẽ được thảo luận trong buổi phỏng vấn) 13 ngày nghỉ phép linh hoạt, bao gồm ngày sinh nhật và các dịp quan trọng khác Bảo hiểm đầy đủ theo luật lao động, cùng với ABBANK CARE - chương trình phúc lợi bổ sung đặc biệt dành cho ABBankers Lãi suất vay ưu đãi - Quyền lợi đặc biệt dành cho nhân viên ABBANK Cơ hội phát triển nghề nghiệp hấp dẫn:Gia nhập các dự án chuyển đổi quy mô lớn, cộng tác cùng các chuyên gia hàng đầu để áp dụng công nghệ mới nhất trong ngành ngân hàng Lộ trình phát triển sự nghiệp rõ ràng, được tạo điều kiện cho cả sự phát triển kỹ thuật và quản lý Hỗ trợ đào tạo và chứng chỉ trong lĩnh vực IT, ngân hàng/tài chính Môi trường làm việc năng động:Mô hình làm việc linh hoạt, trẻ trung, khuyến khích đổi mới và sáng tạo Văn phòng được trang bị hiện đại, kèm theo các thiết bị tiên tiến nhất dành cho nhân viên Tổ chức thường xuyên các hoạt động ngoại khóa (team building, hội thảo, và các sự kiện văn nghệ), tạo điều kiện cho nhân viên gắn kết và phát triển.",https://topdev.vn/viec-lam/digital-banking-devops-engineer-ngan-hang-tmcp-an-binh-abbank-2034230?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Ha Noi .NET Developer,FPT IS,Thương lượng,"Tầng 12 - FPT Tower - 10 Phạm Văn Bạch, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội",Đăng 4 ngày trước,"Information Technology, B2B Services, Technology and Computer Sciences",Hơn 1000 Nhân viên,Vietnam,Từ 2 năm,"Middle, Senior",In Office,Fulltime,"ASP.NET, .NET, .NET Core",Vòng 1: 1 Vòng phỏng vấn với Technical không có bài test,"Trách nhiệm công việc Develop and maintain web applications using ASP.NET, .NET Core, and related technologies. Develop and maintain desktop applications using Windows Forms. Design and implement SQL Server databases, including writing and optimizing SQL queries. Participate in requirement analysis, software design, development, and testing processes. Collaborate closely with team members to ensure project quality and progress. Troubleshoot and resolve software issues, improve performance, and optimize code. Perform other tasks as requested by management. Kỹ năng & Chuyên môn At least 2-3 years of experience in application development with .NET Framework and .NET Core. Proficiency in developing web applications with ASP.NET, ASP.NET MVC, and .NET Core. Experience in developing desktop applications with Windows Forms. Skilled in working with SQL Server databases, including design, implementation, and query optimization. Knowledge of HTML, CSS, JavaScript, and front-end frameworks such as Angular, React, or Vue.js is a plus. Experience with tools like Visual Studio, Git, Azure DevOps, or other CI/CD tools. Strong teamwork, effective communication, and time management skills. Analytical thinking and quick problem-solving abilities. Eagerness to learn and stay updated with new technologies. Preference will be given to candidates who can communicate in English. Phúc lợi dành cho bạn Working hours: Monday to Friday. Competitive salary with performance-based bonuses. 13th-month salary and other performance bonuses, including project bonuses, business performance bonuses, and other individual and collective achievement bonuses. Participation in FPTCare insurance for both the employee and their family members, including periodic health check-ups. Opportunities to participate in short-term or long-term overseas projects. Dynamic and youthful working environment: Modern office, open and creative space, encouraging collaboration and idea exchange. Continuous development of both hard and soft skills through practical work experience and professional training courses. Access to the latest technology trends. Flexible working policy: Support for remote work and flexible working hours, helping employees balance work and life. Annual company trips/vacations. 12 days of annual leave, 03 days of summer vacation, and holidays as per regulations. Annual salary review. Participation in exciting cultural activities and events of FPT IS and FPT Corporation.",https://topdev.vn/viec-lam/ha-noi-net-developer-fpt-is-2034354?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Senior Fullstack R&D Developer,Floware,Thương lượng,"43 Hồ Văn Huê, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Đăng 4 ngày trước,Phần Mềm,25-99 Nhân viên,United States,Từ 5 năm,Senior,In Office,Fulltime,"PHP, JavaScript, NodeJS","Vòng 1: Phỏng vấn với Technical Team, Vòng 2: Phỏng vấn với Technical Director, Vòng 3: Phỏng vấn với HR","ABOUT US Floware is a leader in building innovative software to transform the way people live, play, work, and learn. Our mission is to create smart solutions that benefit everyone and solve their daily challenges. We were the first in Vietnam to develop an iOS app and our first OS X application SmartDay debuted on the Mac App Store at #5. Location: Ho Van Hue Street, Phu Nhuan District, HCMC Office hour: Monday – Friday (8:30 AM – 5:30 PM) Trách nhiệm công việc The Senior Fullstack R&D Developer works closely with our product leadership to turn ideas into reality and to quickly assess new features & capabilities before we fully commit to their implementation, specifically: You will be leading our research and development into new technologies and capabilities. You will be a core team member of our R&D effort responsible for new product feature innovation, proof-of-concept, design, and specification development. You will advise our leadership on development feasibility & timeline. You will develop & package scalable libraries, frameworks, systems that could be integrated into all of our platforms. You will develop rapid prototypes for other teams to review and understand issues & risks during our planning phase. You will work on discovering and identifying inefficiencies and scalability issues in technical projects; you’ll then get to design effective solutions to resolve them. You will document designs, specifications, flows, etc. and present such findings to both our leadership and technical teams so everyone can fully understand each capability’s nuts & bolts. Kỹ năng & Chuyên môn 5+ years of excellent & recent working experience working with technologies like PHP, JavaScript/Typescript, NodeJS (NestJS), Angular (or React, Vue, etc.), Objective-C/Swift, Python, Golang, etc. 5+ years of excellent work experience designing, building, scaling, managing high-performing APIs. 5+ years of excellent work experience with both relational and non-relational database systems. You enjoy exploring & working with new technologies & better ways of doing things. You are comfortable working in a lean startup environment with an aggressive delivery timeline and challenging problems. You are a team player who works well across team boundaries to get things done, is willing to wear multiple hats when needed, and does what is best for the product. You are very experienced in optimizing code, architecture, and other technical HUGE PLUS IF YOU ARE/HAVE Expert experience and understanding of data systems. Expert experience with popular open source frameworks. Strong hands-on experience enabling multi-threading, caching techniques, multi-platform synchronization, and microservices. Excellent experience and understanding of architectural patterns for a large, high-scale data platform (e.g., well-designed APIs, high volume data pipelines, efficient algorithms). Excellent hands-on experience with PaaS, IaaS, CaaS. Phúc lợi dành cho bạn Full income tax, social insurance paid by company (Net Salary) 13th month of salary 100% salary during probation period Performance bonus up to 96M VND or more in the year Very attractive salary based on skills and experience Premium Health Insurance Package Friendly, flexible, and fun working environment Company trip, team building, monthly party, etc.. Free office lunch, coffee, tea, and snack bar everyday Monthly team activity allowance Great opportunity for career development",https://topdev.vn/viec-lam/senior-fullstack-r-d-developer-floware-2034351?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Senior React.JS - Fluent English,SSTech Company,Thương lượng,"12 Đường số 2, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Đăng 4 ngày trước,"Product, Phần Mềm, Outsourcing",25-99 Nhân viên,Vietnam,Từ 4 năm,Senior,In Office,Fulltime,"Front-End, ReactJS, English - Good",Khong co thong tin,"Trách nhiệm công việc You will be involved in a variety of projects, work with Australian customers and team members to get the project done. You will have the opportunity and time to study, apply and improve your technology knowledge and soft skills. Represent SsTech to join in projects with SsTechs partner and customer; Join in meeting with customer and project team to get requirement, updates on project; Analyze project documents to understand customer process and project needs & requirements; Communicate with team to ensure project requirements are fully understood by developer team; Work with developer team to go over project requirements and submit team timeline according to project timeline Track all change requests of project and manage all project documents: requirements, specification, timeline, change request… Follow tasks of developer team; update progress or any issue to customer, project manager and others tasks to get the project done on time. Kỹ năng & Chuyên môn From 4 year experience with React.JS (inc. hooks, functional components etc.) on practical projects; Programming experience in HTML5, CSS3, Styled Component; Knowledge of versioning Source Control systems (SVN/Git); Experience in performance optimization and security; Reading and writing skills in English. Nice to have (not compulsory): Experience with React Hook, Redux, Webpack, ES6; Experience in consuming RESTful APIs/services.Skills and Experience; Phúc lợi dành cho bạn Attractive salary and benefits 13th-month salary & annual salary review. Added 1.5day leaves/month & Cash out leaves at lunar Tet All benefits under the labor code Annual company trip Well-equiped working condition In-house lunch Unlimited free coffee, tea, snacks, and fruit to keep you energized Dymanic and friendly working environment in a team of talented and experienced developers. Working time: Monday to Friday",https://topdev.vn/viec-lam/senior-react-js-fluent-english-sstech-company-2034484?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
"Automation QC (Appium, Python)",Floware,Thương lượng,"43 Hồ Văn Huê, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Đăng 4 ngày trước,Phần Mềm,25-99 Nhân viên,United States,Từ 2 năm,"Middle, Senior",In Office,Fulltime,"Python, Tester, Automation Tester","Vòng 1: Phỏng vấn với Technical Team, Vòng 2: Phỏng vấn với Technical Director, Vòng 3: Phỏng vấn với HR","ABOUT US Floware is a leader in building innovative software to transform the way people live, play, work, and learn. Our mission is to create smart solutions that benefit everyone and solve their daily challenges. We were the first in Vietnam to develop an iOS app and our first OS X application SmartDay debuted on the Mac App Store at #5. Location: Ho Van Hue Street, Phu Nhuan District, HCMC Office hour: Monday – Friday (8:30 AM – 5:30 PM) Trách nhiệm công việc Work closely with the development team (Backend, Frontend, DevOps, R&D, Technical Director, PM) to collaborate, understand the product requirements and knowledge clearly and accurately. Perform testing phases including Dev, QA, and Staging environments. Design, develop, and maintain automated test scripts for API testing using the Postman tool with an existing Python framework. Collaborate with cross-functional teams to understand API specifications and design efficient and comprehensive test cases. Design, develop, and maintain automated test scripts for Functional and Sync UI testing for crossed-platforms (Mac, Web, iPhone, iPad) using the existing Python framework. Integrate automated tests into the CI/CD nightly pipeline and the instant execution for efficient testing processes. Monitor and analyze test results, investigate failures, and provide feedback to the development team. Report daily to the Team Leader and Technical Director about problems/issues/risks at the Backend side. Document working efforts on Confluence to provide feedback, evidence, and a further improvement in the team. Take the main responsibility for your own assignment and provide improvements for the product quality. Participate in client meetings to discuss and agree on the automation testing approach and follow it up in new automation test opportunities. Kỹ năng & Chuyên môn At least 2 years in automation testing and ensuring product quality. Hands-on experience with a programming language such as Python. Experience in API automation testing (Python, Java, JMeter, Postman, etc.) Experience in Mobile automation testing (Python, Java, Appium, iOS, Android, etc.) Experience in Web automation testing (Python, Java, Selenium, Chrome, Firefox, Safari, Headless, etc.) Experience in CI/CD process (Github, Jenkins, Gitlab CI, nightly run, etc.) Experience in Performance and Security testing is a plus. Have strong analytical and problem-solving skills. Have a proactive and good work relationship with other team members. Phúc lợi dành cho bạn Full income tax, social insurance paid by company (Net Salary) 13th month of salary 100% salary during probation period Performance bonus up to 96M VND or more in the year Very attractive salary based on skills and experience Premium Health Insurance Package Friendly, flexible, and fun working environment Company trip, team building, monthly party, etc.. Free office lunch, coffee, tea, and snack bar everyday Monthly team activity allowance Great opportunity for career development",https://topdev.vn/viec-lam/automation-qc-appium-python-floware-2034350?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Blockchain Developer Fresher,CÔNG TY TNHH CÔNG NGHỆ RBX,400 USD to 600 USD,"Tầng 06 tòa Golden Field 24 Nguyễn Cơ Thạch, Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội",Đăng 4 ngày trước,Fintech,10-24 Nhân viên,Vietnam,Không yêu cầu,Fresher,In Office,Fulltime,"JavaScript, Python, Blockchain","Vòng 1: Phỏng vấn trực tiếp với Tech Lead, Vòng 2: Deal lương","Trách nhiệm công việc Tham gia thiết kế, phát triển và triển khai các ứng dụng nền tảng blockchain và các nền tảng tài chính phi tập trung. Hỗ trợ trong việc phát triển và bảo trì các ứng dụng phi tập trung (dApps). Học hỏi, cập nhật các công nghệ blockchain mới và áp dụng vào các dự án của công ty. Phối hợp chặt chẽ với nhóm phát triển, đảm bảo tiến độ và chất lượng công việc. Kỹ năng & Chuyên môn Sinh viên năm cuối hoặc đã tốt nghiệp chuyên ngành Công nghệ Thông tin, Khoa học Máy tính hoặc các ngành liên quan. Kỹ năng lập trình cơ bản với các ngôn ngữ như Python, JavaScript hoặc Go. Có khả năng làm việc với C/C++ hoặc Rust là lợi thế. Có kiến thức và yêu thích cấu trúc dữ liệu và giải thuật. Có khả năng học hỏi nhanh và thích nghi với các công nghệ mới. Có thế đọc hiểu tài liệu tiếng Anh Phúc lợi dành cho bạn Thu nhập: $400-$600, review lương sau 6 tháng làm việc chính thức. Được hướng dẫn, đào tạo bởi các chuyên gia trong lĩnh vực blockchain. Môi trường làm việc thân thiện, năng động, có cơ hội phát triển nghề nghiệp. Tham gia các dự án thực tế, ứng dụng công nghệ blockchain tiên tiến. Làm việc từ 40 - 48h/tuần. Tháng lương 13, thưởng lễ 05 lần/ năm Du lịch, khám sức khỏe hàng năm, Team Building hàng tháng. Gửi xe miễn phí, đồ ăn nhẹ Teabreak hàng ngày miễn phí.",https://topdev.vn/viec-lam/blockchain-developer-fresher-cong-ty-tnhh-cong-nghe-rbx-2034496?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
JAVA PROJECT LEADER,Agentec Vietnam,Thương lượng,"42/5-7 Đường Hồ Đắc Di, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",Đăng 4 ngày trước,Phần Mềm,10-24 Nhân viên,Vietnam,Từ 5 năm,Trưởng Nhóm,In Office,Fulltime,"Java, JavaScript, Project Leader",Khong co thong tin,"Build, develop, and test products for the parent company in TOKYO Work on Database, Server/PostgresSQL/MySQL Trách nhiệm công việc Follow the plan and report work according to regulations. Manage teams, Estimate, members, review code, develop and debug features. Kỹ năng & Chuyên môn Strong experience in Java 5 +・JavaScript・HTML5+CSS3・SQL, Server,Databas Experience as a Developer at least 5+ years Experience as a Leader at least 3+ years Bachelors degree in computer science, Software Engineering Phúc lợi dành cho bạn Thưởng cuối năm: Tháng thứ 13 Bảo hiểm đóng full lương theo luật định. Bảo Việt chăm sóc sức khỏe 24/7. Bãi đậu xe miễn phí trong tòa nhà. Trang bị đầy đủ tiện nghi: MacBook/ Window. 12 ngày nghỉ phép năm. Du lịch công ty hàng năm. Team building hàng tháng.",https://topdev.vn/viec-lam/java-project-leader-agentec-vietnam-2034349?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
